Statistic,Name,Team,#,Year
Complete Games,Gerrit Cole,New York Yankees,2,2020
ERA,Shane Bieber,Cleveland Indians,1.63,2020
Games,Scott Barlow,Kansas City Royals,32,2020
Saves,Brad Hand,Cleveland Indians,16,2020
Shutouts,Gerrit Cole,New York Yankees,1,2020
Shutouts,Kyle Gibson,Texas Rangers,1,2020
Shutouts,Lucas Giolito,Chicago White Sox,1,2020
Shutouts,Brad Keller,Kansas City Royals,1,2020
Shutouts,Mike Minor,Oakland Athletics,1,2020
Strikeouts,Shane Bieber,Cleveland Indians,122,2020
Winning Percentage,Shane Bieber,Cleveland Indians,.889,2020
Wins,Shane Bieber,Cleveland Indians,8,2020
Complete Games,Gerrit Cole,New York Yankees,2,2021
Complete Games,Sean Manaea,Oakland Athletics,2,2021
ERA,Robbie Ray,Toronto Blue Jays,2.84,2021
Games,Bryan Shaw,Cleveland Indians,81,2021
Saves,Liam Hendriks,Chicago White Sox,38,2021
Shutouts,Sean Manaea,Oakland Athletics,2,2021
Strikeouts,Robbie Ray,Toronto Blue Jays,248,2021
Winning Percentage,"Lance McCullers, Jr.",Houston Astros,.722,2021
Wins,Gerrit Cole,New York Yankees,16,2021
Complete Games,Framber Valdez,Houston Astros,3,2022
ERA,Justin Verlander,Houston Astros,1.75,2022
Games,Adam Cimber,Toronto Blue Jays,77,2022
Games,Emmanuel Clase,Cleveland Guardians,77,2022
Saves,Emmanuel Clase,Cleveland Guardians,42,2022
Shutouts,Dylan Cease,Chicago White Sox,1,2022
Shutouts,Nestor Cortes,New York Yankees,1,2022
Shutouts,Reid Detmers,Los Angeles Angels,1,2022
Shutouts,Nathan Eovaldi,Boston Red Sox,1,2022
Shutouts,Dean Kremer,Baltimore Orioles,1,2022
Shutouts,Martín Pérez,Texas Rangers,1,2022
Shutouts,Patrick Sandoval,Los Angeles Angels,1,2022
Shutouts,Framber Valdez,Houston Astros,1,2022
Shutouts,Michael Wacha,Boston Red Sox,1,2022
Strikeouts,Corbin Burnes,Milwaukee Brewers,243,2022
Winning Percentage,Justin Verlander,Houston Astros,.818,2022
Wins,Justin Verlander,Houston Astros,18,2022
Complete Games,Jordan Lyles,Kansas City Royals,3,2023
ERA,Gerrit Cole,New York Yankees,2.63,2023
Games,Matt Brash,Seattle Mariners,78,2023
Saves,Emmanuel Clase,Cleveland Guardians,44,2023
Shutouts,Gerrit Cole,New York Yankees,2,2023
Shutouts,Framber Valdez,Houston Astros,2,2023
Strikeouts,Kevin Gausman,Toronto Blue Jays,237,2023
Winning Percentage,Gerrit Cole,New York Yankees,.789,2023
Wins,Chris Bassitt,Toronto Blue Jays,16,2023
Wins,Zach Eflin,Tampa Bay Rays,16,2023
Complete Games,Kevin Gausman,Toronto,2,2024
ERA,Tarik Skubal,Detroit,2.39,2024
Games,T.J. McFarland,Oakland,79,2024
Saves,Emmanuel Clase,Cleveland,47,2024
Shutouts,Ronel Blanco,Houston,1,2024
Shutouts,Joey Estes,Oakland,1,2024
Shutouts,Kevin Gausman,Toronto,1,2024
Shutouts,Tanner Houck,Boston,1,2024
Shutouts,Keider Montero,Detroit,1,2024
Strikeouts,Tarik Skubal,Detroit,228,2024
Winning Percentage,Tarik Skubal,Detroit,.818,2024
Wins,Tarik Skubal,Detroit,18,2024
