Statistic,Name,Team,#,Year
Base on Balls,Carlos Santana,Cleveland Indians,47,2020
Batting Average,DJ LeMahieu,New York Yankees,.364,2020
Doubles,Cesar Hernandez,Cleveland Indians,20,2020
Hits,Jose Abreu,Chicago White Sox,76,2020
Home Runs,Luke Voit,New York Yankees,22,2020
On Base Percentage,DJ LeMahieu,New York Yankees,.421,2020
RBI,Jose Abreu,Chicago White Sox,60,2020
Runs,Tim Anderson,Chicago White Sox,45,2020
Runs,Jose Ramirez,Cleveland Indians,45,2020
Slugging Average,Jose Abreu,Chicago White Sox,.617,2020
Stolen Bases,Adalberto Mondesi,Kansas City Royals,24,2020
Total Bases,Jose Abreu,Chicago White Sox,148,2020
Triples,Kyle Tucker,Houston Astros,6,2020
Base on Balls,Joey Gallo,Texas Rangers,111,2021
Base on Balls,Joey Gallo,New York Yankees,111,2021
Batting Average,Yuli Gurriel,Houston Astros,.319,2021
Doubles,Jeimer Candelario,Detroit Tigers,42,2021
Doubles,J.D. Martinez,Boston Red Sox,42,2021
Doubles,Whit Merrifield,Kansas City Royals,42,2021
Hits,Bo Bichette,Toronto Blue Jays,191,2021
Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48,2021
Home Runs,Salvador Perez,Kansas City Royals,48,2021
On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,.401,2021
RBI,Salvador Perez,Kansas City Royals,121,2021
Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123,2021
Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,.601,2021
Stolen Bases,Whit Merrifield,Kansas City Royals,40,2021
Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363,2021
Triples,Shohei Ohtani,Los Angeles Angels,8,2021
Base on Balls,Aaron Judge,New York Yankees,111,2022
Batting Average,Luis Arraez,Minnesota Twins,.316,2022
Doubles,José Ramírez,Cleveland Guardians,44,2022
Hits,Bo Bichette,Toronto Blue Jays,189,2022
Home Runs,Aaron Judge,New York Yankees,62,2022
On Base Percentage,Aaron Judge,New York Yankees,.425,2022
RBI,Aaron Judge,New York Yankees,131,2022
Runs,Aaron Judge,New York Yankees,133,2022
Slugging Average,Aaron Judge,New York Yankees,.686,2022
Stolen Bases,Jorge Mateo,Baltimore Orioles,35,2022
Total Bases,Aaron Judge,New York Yankees,391,2022
Triples,Amed Rosario,Cleveland Guardians,9,2022
Base on Balls,J.P. Crawford,Seattle Mariners,94,2023
Batting Average,Yandy Díaz,Tampa Bay Rays,.330,2023
Doubles,Corey Seager,Texas Rangers,42,2023
Hits,Marcus Semien,Texas Rangers,185,2023
Home Runs,Shohei Ohtani,Los Angeles Angels,44,2023
On Base Percentage,Shohei Ohtani,Los Angeles Angels,.412,2023
RBI,Kyle Tucker,Houston Astros,112,2023
Runs,Marcus Semien,Texas Rangers,122,2023
Slugging Average,Shohei Ohtani,Los Angeles Angels,.654,2023
Stolen Bases,Esteury Ruiz,Oakland Athletics,67,2023
Total Bases,Shohei Ohtani,Los Angeles Angels,325,2023
Triples,Bobby Witt Jr.,Kansas City Royals,11,2023
Base on Balls,Aaron Judge,New York,133,2024
Batting Average,Bobby Witt Jr.,Kansas City,.332,2024
Doubles,Jarren Duran,Boston,48,2024
Hits,Bobby Witt Jr.,Kansas City,211,2024
Home Runs,Aaron Judge,New York,58,2024
On Base Percentage,Aaron Judge,New York,.458,2024
RBI,Aaron Judge,New York,144,2024
Runs,Juan Soto,New York,128,2024
Slugging Average,Aaron Judge,New York,.701,2024
Stolen Bases,Jose Caballero,Tampa Bay,44,2024
Total Bases,Aaron Judge,New York,392,2024
Triples,Jarren Duran,Boston,14,2024
