Team | Roster,W,L,T,WP,Year
Tampa Bay Rays,40,20,0,.667,2020
New York Yankees,33,27,0,.550,2020
Toronto Blue Jays,32,28,0,.533,2020
Baltimore Orioles,25,35,0,.417,2020
Boston Red Sox,24,36,0,.400,2020
Minnesota Twins,36,24,0,.600,2020
Chicago White Sox,35,25,0,.583,2020
Cleveland Indians,35,25,0,.583,2020
Kansas City Royals,26,34,0,.433,2020
Detroit Tigers,23,35,0,.397,2020
Oakland Athletics,36,24,0,.600,2020
Houston Astros,29,31,0,.483,2020
Seattle Mariners,27,33,0,.450,2020
Los Angeles Angels,26,34,0,.433,2020
Texas Rangers,22,38,0,.367,2020
Tampa Bay Rays,100,62,0,.617,2021
Boston Red Sox,92,70,0,.568,2021
New York Yankees,92,70,0,.568,2021
Toronto Blue Jays,91,71,0,.562,2021
Baltimore Orioles,52,110,0,.321,2021
Chicago White Sox,93,69,0,.586,2021
Cleveland Indians,80,82,0,.494,2021
Detroit Tigers,77,85,0,.475,2021
Kansas City Royals,74,88,0,.457,2021
Minnesota Twins,73,89,0,.451,2021
Houston Astros,95,67,0,.586,2021
Seattle Mariners,90,72,0,.556,2021
Oakland Athletics,86,76,0,.531,2021
Los Angeles Angels,77,85,0,.754,2021
Texas Rangers,60,102,0,.370,2021
New York Yankees,99,63,0,.611,2022
Toronto Blue Jays,92,70,0,.568,2022
Tampa Bay Rays,86,76,0,.531,2022
Baltimore Orioles,83,79,0,.512,2022
Boston Red Sox,78,84,0,.481,2022
Cleveland Guardians,92,70,0,.568,2022
Chicago White Sox,81,81,0,.500,2022
Minnesota Twins,78,84,0,.481,2022
Detroit Tigers,66,96,0,.407,2022
Kansas City Royals,65,97,0,.401,2022
Houston Astros,106,56,0,.654,2022
Seattle Mariners,90,72,0,.556,2022
Los Angeles Angels,73,89,0,.451,2022
Texas Rangers,68,94,0,.420,2022
Oakland Athletics,60,102,0,.370,2022
Baltimore Orioles,101,61,0,.623,2023
Tampa Bay Rays,99,63,0,.611,2023
Toronto Blue Jays,89,73,0,.549,2023
New York Yankees,82,80,0,.506,2023
Boston Red Sox,78,84,0,.481,2023
Minnesota Twins,87,75,0,.537,2023
Detroit Tigers,78,84,0,.481,2023
Cleveland Guardians,76,86,0,.469,2023
Chicago White Sox,61,101,0,.377,2023
Kansas City Royals,56,106,0,.346,2023
Houston Astros,90,72,0,.556,2023
Texas Rangers,90,72,0,.556,2023
Seattle Mariners,88,74,0,.543,2023
Los Angeles Angels,73,89,0,.451,2023
Oakland Athletics,50,112,0,.309,2023
New York Yankees,94,68,0,.580,2024
Baltimore Orioles,91,71,0,.562,2024
Boston Red Sox,81,81,0,.500,2024
Tampa Bay Rays,80,82,0,.494,2024
Toronto Blue Jays,74,88,0,.457,2024
Cleveland Guardians,92,69,0,.571,2024
Kansas City Royals,86,76,0,.531,2024
Detroit Tigers,86,76,0,.531,2024
Minnesota Twins,82,80,0,.506,2024
Chicago White Sox,41,121,0,.253,2024
Houston Astros,88,73,0,.547,2024
Seattle Mariners,85,77,0,.525,2024
Texas Rangers,78,84,0,.481,2024
Oakland Athletics,69,93,0,.426,2024
Los Angeles Angels,63,99,0,.389,2024
